19,43,36,27,17,17,82,16,91,88,90,55,83,94,92,62,40,65,12,40,35,35,21,50,66,99,40,54,93,99,38,22,93,77,84,39,86,18,42,94,41,51,65,36,30,33,34,19,36,80,74,15,47,10,16,15,99,79,10,92,19,60,62,90,99,62,60,16,31,97,19,71,65,61,13,60,27,97,36,55,60,86,17,80,50,61,57,99,90,21,20,12,60,34,31,56,46,52,67,44,71,69,27,76,34,66,35,70,93,27,54,20,42,23,58,92,82,82,97,72,34,82,44,98,23,55,39,89,98,11,20,61,35,69,98,81,10,49,83,22,91,11,25,93,68,82,35,60,92,93,29,34,64,68,89,57,60,56,11,33,26,17,18,19,14,54,30,28,69,60,21,86,45,83,98,37,82,36,67,90,68,51,46,62,16,52,99,79,60,27,97,86,59,19,59,11,99,84,31,92
37,46,95,85,63,48,17,16,71,64,65,15,68,49,93,19,12,37,69,76,72,54,31,95,21,58,37,62,64,69,16,91,28,13,22,35,84,56,92,10,53,74,55,22,78,88,34,61,56,31,68,99,93,88,31,74,71,53,26,23,76,76,10,89,95,58,39,27,98,59,83,33,25,73,59,40,44,19,93,21,68,18,60,22,88,28,50,70,27,22,62,48,77,50,63,92,44,47,81,15,24,75,97,69,32,58,88,28,78,73,79,43,47,23,92,74,17,63,36,58,54,69,62,51,20,94,78,37,47,32,60,41,99,86,53,37,53,37,62,23,93,21,15,30,48,98,90,87,59,45,89,42,47,59,64,63,74,51,98,84,35,88,32,70,31,57,88,90,90,77,38,57,65,90,91,42,39,49,68,79,84,32,78,25,15,63,11,65,83,25,93,36,14,18,10,38,53,39,21,27
63,27,30,26,93,54,21,99,54,70,38,24,88,95,68,77,73,83,55,14,31,61,38,16,69,51,89,20,54,25,21,31,44,87,83,62,46,86,31,55,10,58,95,21,27,84,22,15,78,92,60,40,10,11,71,60,57,26,44,58,90,71,97,43,31,33,33,23,11,49,50,52,27,46,31,86,74,40,64,38,89,31,73,87,44,68,74,73,82,59,92,95,48,67,57,15,28,22,57,88,77,46,97,68,80,78,65,38,84,94,95,24,99,78,82,63,92,20,29,24,42,41,47,38,93,17,53,27,66,37,91,76,87,48,24,99,14,44,72,70,42,31,72,50,17,79,65,57,40,55,98,60,75,61,78,60,66,46,55,58,91,44,33,32,73,85,92,67,96,82,55,63,58,45,33,46,68,46,27,70,59,36,17,53,61,58,73,93,71,77,53,54,12,81,86,62,17,52,32,21
88,23,17,49,42,90,75,84,40,63,26,67,98,94,15,30,69,55,63,74,73,85,80,67,97,82,72,28,46,26,73,47,43,75,85,88,99,82,30,79,60,87,50,97,30,40,44,79,39,34,16,47,38,35,20,78,20,46,77,25,80,55,12,91,96,83,93,44,78,79,29,90,28,90,25,95,59,94,99,35,95,63,46,55,74,19,28,86,33,76,60,26,59,53,26,22,40,21,82,83,30,36,65,44,64,34,60,28,85,43,54,76,39,64,50,14,27,66,68,65,12,29,58,58,24,61,56,16,68,66,42,51,79,40,30,11,40,71,96,87,18,51,65,25,47,20,96,57,15,70,15,81,59,51,73,58,49,75,83,87,78,67,96,94,78,78,36,10,61,40,69,79,94,74,88,25,41,32,65,39,60,49,90,32,26,77,73,11,93,42,49,72,26,82,64,77,23,92,17,64
20,29,70,13,14,44,43,66,73,30,48,53,85,26,79,55,35,69,97,55,64,52,21,12,77,18,17,40,18,80,67,26,58,78,61,29,76,92,68,89,74,79,70,95,24,84,51,46,81,90,33,69,35,34,43,24,94,55,52,60,18,98,79,14,63,25,67,76,29,27,61,14,33,58,29,32,33,66,83,16,64,77,35,82,28,23,23,45,63,52,43,48,46,54,98,95,87,76,26,94,86,29,35,13,77,95,12,21,17,51,66,46,22,86,95,85,39,18,18,89,92,30,76,67,99,46,78,29,68,87,15,75,16,38,11,32,74,30,59,86,53,48,15,84,10,45,74,62,78,24,31,85,35,11,10,81,65,11,20,32,45,48,38,76,66,85,78,94,48,47,92,37,16,76,23,89,82,95,23,26,11,30,22,78,97,86,48,68,30,28,21,54,59,63,51,66,67,65,18,65
65,48,95,25,51,78,44,12,63,35,62,47,43,22,35,68,12,50,25,58,96,66,57,76,54,61,92,89,12,84,13,71,13,42,77,34,81,61,87,24,74,98,86,11,93,97,64,49,96,36,60,99,67,69,42,89,58,89,10,89,21,71,87,74,32,46,66,22,56,31,18,96,66,48,56,93,46,16,83,45,36,18,88,30,79,70,11,41,67,93,96,70,23,43,17,78,60,87,77,18,85,28,70,51,34,88,45,83,10,56,39,36,63,53,63,16,77,25,74,31,33,25,33,46,95,70,80,57,38,24,51,66,91,17,67,45,12,98,32,67,62,90,95,82,96,67,83,19,16,24,74,75,32,65,89,32,18,19,96,57,94,28,62,77,44,43,91,49,72,30,38,79,50,51,90,77,15,32,44,92,79,46,46,56,99,29,14,14,90,44,99,56,29,66,73,67,85,76,93,82
98,87,37,15,76,32,31,99,17,91,26,21,55,19,36,48,52,46,96,23,79,23,34,33,86,53,20,96,65,82,17,57,19,40,11,41,17,60,24,86,93,41,74,86,38,64,48,47,29,22,19,67,77,82,39,71,36,99,92,54,77,84,94,46,53,15,55,77,72,40,65,56,17,56,74,73,57,16,96,25,96,72,13,14,53,57,38,63,18,15,65,52,85,33,68,29,54,37,82,17,96,32,87,54,17,12,82,80,69,20,98,91,96,27,26,41,12,85,12,81,69,98,33,83,15,12,51,87,47,42,95,54,13,72,29,27,55,92,46,16,93,45,91,46,44,87,36,49,98,71,83,17,34,93,78,57,44,75,92,36,37,47,14,76,76,68,20,77,27,62,55,65,85,66,27,92,59,98,36,58,74,40,44,31,79,37,83,69,33,18,35,78,13,13,42,35,96,18,92,50
89,27,41,40,88,18,97,34,19,74,80,72,46,44,39,71,52,95,71,23,54,11,45,75,95,34,58,10,20,69,49,44,89,32,37,14,84,28,35,10,61,10,44,12,85,89,22,56,84,55,25,93,79,43,26,29,60,20,57,72,77,49,35,86,64,48,53,26,37,59,50,11,21,33,24,89,77,86,48,80,56,34,91,73,17,75,72,23,27,21,34,99,83,68,46,20,86,50,31,48,49,63,77,80,29,49,43,29,61,47,11,33,76,20,40,32,20,26,11,50,98,56,97,38,80,98,63,77,89,78,35,48,94,59,85,40,84,74,64,93,15,76,33,34,25,68,68,83,33,12,31,64,65,49,93,42,21,14,18,83,74,89,59,99,78,80,47,35,50,26,95,51,40,61,31,71,19,60,57,19,53,15,99,91,30,46,16,42,66,17,48,35,85,85,74,19,26,82,46,40
90,35,81,62,86,27,43,85,82,70,43,34,96,76,66,45,53,30,37,72,30,26,36,81,15,96,79,50,45,28,78,96,95,25,72,53,93,35,76,96,60,46,29,88,95,19,93,17,49,85,67,69,89,80,81,44,83,11,33,83,64,32,77,66,17,60,81,24,56,24,60,87,95,88,84,63,63,19,10,87,62,41,81,49,78,72,10,85,89,11,42,80,25,39,56,73,52,34,35,25,80,28,11,19,63,90,72,97,16,47,44,77,21,72,31,19,45,98,94,71,74,86,62,66,73,44,60,73,59,21,69,75,30,79,24,83,53,56,32,50,94,45,31,28,21,49,96,14,59,26,31,67,88,56,14,27,66,45,71,51,97,75,40,41,24,15,26,17,43,99,18,68,83,23,75,89,20,22,86,45,96,22,34,79,52,40,12,10,16,61,18,14,49,19,78,14,66,89,11,94
55,62,46,58,55,58,83,79,55,66,64,93,99,64,58,26,31,88,41,51,18,14,41,90,87,15,36,55,68,34,28,45,98,92,55,21,14,45,81,79,59,58,38,79,59,40,46,99,39,38,14,25,22,35,82,56,37,73,27,89,75,34,53,11,24,71,11,90,67,49,11,74,55,43,80,89,34,70,58,26,87,15,70,77,54,16,23,29,30,64,13,42,70,65,60,78,75,20,27,13,36,76,33,13,22,16,83,10,95,79,80,67,90,64,92,72,95,64,55,75,25,98,61,89,78,89,66,45,77,39,83,86,34,40,19,32,24,32,60,52,20,39,66,35,12,39,94,51,98,34,61,72,46,51,43,92,96,13,74,60,68,64,99,60,37,33,58,46,35,99,79,37,82,60,51,57,53,32,91,39,98,17,18,63,37,32,94,29,49,26,13,25,62,61,31,10,32,82,86,89
